"ubicacion","cole_bilingue","cole_calendario","cole_caracter","cole_depto_ubicacion","cole_genero","cole_jornada","cole_naturaleza","fami_educacionmadre","fami_educacionpadre","estu_genero","fami_estratovivienda","fami_personashogar","fami_cuartoshogar","fami_tieneautomovil","fami_tienecomputador","fami_tieneinternet","punt_ingles","punt_matematicas","punt_sociales_ciudadanas","punt_c_naturales","punt_lectura_critica","punt_global"
"URBANO","N","A","TÉCNICO/ACADÉMICO","ANTIOQUIA","MIXTO","SABATINA","NO OFICIAL","Primaria incompleta","No sabe","F","Estrato 4","Seis","Tres","No","Si","Si","38.0","26.0","39","45","41","189"
"URBANO","N","A","TÉCNICO/ACADÉMICO","CESAR","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Educación profesional completa","F","Estrato 1","Cinco","Tres","No","No","Si","40.14","42.46",,,,
"URBANO","N","A","ACADÉMICO","CAQUETA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","F","Estrato 1","5 a 6","Dos","No","Si","No","51.0","61.0","63","40","63","282"
"URBANO","N","A","ACADÉMICO","CAQUETA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","F","Estrato 1","5 a 6","Dos","No","Si","No","51.0","61.0","63","40","63","282"
"URBANO","N","A","TÉCNICO/ACADÉMICO","CUNDINAMARCA","MIXTO","MAÑANA","OFICIAL","Primaria completa","Primaria completa","F","Estrato 1","Dos","Dos","No","No","No","55.62","48.09",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","TOLIMA","MIXTO","NOCHE","OFICIAL","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","M","Estrato 1","Tres","Dos","No","Si","Si","41.0","57.0","49","49","49","251"
"URBANO","N","A","TÉCNICO/ACADÉMICO","BOGOTA","MIXTO","MAÑANA","OFICIAL","Primaria incompleta","Primaria completa","F","Estrato 3","Cuatro","Tres","No","Si","Si","58.0","55.0","49","47","44","247"
"RURAL","N","A","ACADÉMICO","ANTIOQUIA","MIXTO","COMPLETA","NO OFICIAL","Secundaria (Bachillerato) completa","Educación profesional completa","M","Estrato 5","Dos","Dos","Si","Si","Si","77.0","68.0",,,,
"URBANO","","B","TÉCNICO","VALLE","MIXTO","MAÑANA","NO OFICIAL","Secundaria (Bachillerato) completa","","F","Estrato 4","5 a 6","Cinco","No","Si","Si","53.0","42.0","46","50","44","230"
"URBANO","N","A","ACADÉMICO","CALDAS","MIXTO","MAÑANA","OFICIAL","Primaria incompleta","Primaria completa","F","Estrato 3","Tres","Tres","No","Si","Si","64.0","68.0","81","81","67","367"
"RURAL","N","A","TÉCNICO/ACADÉMICO","CESAR","MIXTO","MAÑANA","OFICIAL","Primaria incompleta","Ninguno","M","Estrato 1","5 a 6","Cuatro","No","No","No","50.0","52.0","36","45","55","236"
"URBANO","N","A","ACADÉMICO","CAUCA","MIXTO","MAÑANA","OFICIAL","Primaria incompleta","Primaria incompleta","M","Estrato 1","Nueve","Tres","No","No","No","44.0","38.0","46","48","53","229"
"URBANO","S","B","ACADÉMICO","BOGOTA","MIXTO","COMPLETA","NO OFICIAL","Educación profesional completa","Postgrado","M","Estrato 3","Cinco","Cuatro","Si","Si","Si","82.0","79.0","72","71","64","362"
"URBANO","N","A","ACADÉMICO","CAUCA","MIXTO","TARDE","OFICIAL","Educación profesional completa","Educación profesional completa","F","Estrato 3","3 a 4","Tres","Si","Si","Si","63.0","67.0","58","65","70","324"
"URBANO","N","A","ACADÉMICO","CAUCA","MIXTO","TARDE","OFICIAL","Educación profesional completa","Educación profesional completa","F","Estrato 3","3 a 4","Tres","Si","Si","Si","63.0","67.0","58","65","70","324"
"URBANO","N","A","TÉCNICO","HUILA","MIXTO","COMPLETA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","M","Estrato 1","Cuatro","Dos","No","Si","Si","85.05","78.36",,,,
"URBANO","N","A","TÉCNICO","ATLANTICO","MIXTO","UNICA","OFICIAL","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) completa","M","Estrato 2","5 a 6","Cuatro","No","No","Si","52.0","48.0","48","49","43","237"
"URBANO","N","A","TÉCNICO","ATLANTICO","MIXTO","UNICA","OFICIAL","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) completa","M","Estrato 2","5 a 6","Cuatro","No","No","Si","52.0","48.0","48","49","43","237"
"URBANO","N","A","ACADÉMICO","ANTIOQUIA","MIXTO","MAÑANA","OFICIAL","Primaria incompleta","Primaria incompleta","F","Estrato 3","Cinco","Cuatro","Si","Si","Si","42.0","44.0",,,,
"URBANO","N","A","ACADÉMICO","ANTIOQUIA","MIXTO","SABATINA","NO OFICIAL","Secundaria (Bachillerato) completa","Primaria incompleta","M","Estrato 3","Ocho","Cinco","No","Si","Si","46.0","52.0",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","NORTE SANTANDER","MIXTO","MAÑANA","OFICIAL","Primaria completa","Secundaria (Bachillerato) completa","F","Estrato 1","Cuatro","Dos","Si","No","Si","44.0","58.0","58","54","65","288"
"URBANO","N","A","TÉCNICO/ACADÉMICO","TOLIMA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","F","Estrato 2","Seis","Seis","No","Si","Si","39.0","42.0","35","45","35","197"
"URBANO","N","A","TÉCNICO/ACADÉMICO","CESAR","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","M","Estrato 1","Tres","Dos","No","No","No","49.0","32.0","41","42","44","202"
"URBANO","N","A","ACADÉMICO","BOGOTA","MIXTO","COMPLETA"," D.C.""","Tres","Secundaria (Bachillerato) incompleta","19/06/1997","Secundaria (Bachillerato) incompleta","Estrato 3","N","Seis","No","Si",,"33.0","47",,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","NORTE SANTANDER","MIXTO","TARDE","OFICIAL","Primaria completa","Primaria completa","F","Estrato 1","Cinco","Dos","No","No","No","36.0","42.0",,,,
"URBANO","N","A","ACADÉMICO","CUNDINAMARCA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Primaria completa","M","Estrato 2","Seis","Tres","No","Si","Si","41.0","59.0",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","QUINDIO","MIXTO","NOCHE","OFICIAL","Ninguno","Ninguno","F","Estrato 3","Cuatro","Dos","No","Si","No","52.54","55.62",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","ANTIOQUIA","MIXTO","NOCHE","OFICIAL","Secundaria (Bachillerato) completa","Ninguno","M","Estrato 3","Dos","Dos","No","No","No","42.0","34.0","50","42","45","213"
"RURAL","N","A","TÉCNICO/ACADÉMICO","BOYACA","MIXTO","MAÑANA","OFICIAL","Primaria incompleta","Primaria completa","M","Estrato 1","Siete","Tres","No","No","No","44.0","47.0","36","46","40","212"
"URBANO","N","B","ACADÉMICO","VALLE","MIXTO","NOCHE","NO OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","M","Estrato 6","Cinco","Cuatro","Si","Si","Si","35.0","33.0",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","LA GUAJIRA","MIXTO","MAÑANA","OFICIAL","Primaria completa","Primaria completa","F","Estrato 1","Cuatro","Dos","No","No","No","47.58","53.37",,,,
"URBANO","N","A","TÉCNICO","BOYACA","MIXTO","COMPLETA","OFICIAL","Primaria incompleta","Secundaria (Bachillerato) completa","F","Estrato 2","3 a 4","Cuatro","No","Si","Si","41.0","41.0","39","38","46","205"
"URBANO","N","A","TÉCNICO","BOYACA","MIXTO","COMPLETA","OFICIAL","Primaria incompleta","Secundaria (Bachillerato) completa","F","Estrato 2","3 a 4","Cuatro","No","Si","Si","41.0","41.0","39","38","46","205"
"URBANO","N","A","TÉCNICO/ACADÉMICO","VALLE","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","M","Estrato 1","Cuatro","Tres","No","Si","No","55.0","56.0","59","45","61","276"
"URBANO","N","A","ACADÉMICO","BOGOTA","MIXTO","COMPLETA","NO OFICIAL","Educación profesional completa","Secundaria (Bachillerato) completa","M","Estrato 3","Cuatro","Dos","No","Si","No","47.0","63.0",,,,
"URBANO","N","A","ACADÉMICO","TOLIMA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","F","Estrato 2","Cuatro","Tres","No","Si","Si","53.27","53.37",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","ANTIOQUIA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","F","Estrato 2","Cinco","Cuatro","No","Si","Si","68.86","53.16",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","SANTANDER","MIXTO","MAÑANA","OFICIAL","Técnica o tecnológica completa","Secundaria (Bachillerato) completa","F","Estrato 3","3 a 4","Tres","Si","Si","Si","72.0","69.0","67","64","67","336"
"URBANO","N","A","TÉCNICO/ACADÉMICO","SANTANDER","MIXTO","MAÑANA","OFICIAL","Técnica o tecnológica completa","Secundaria (Bachillerato) completa","F","Estrato 3","3 a 4","Tres","Si","Si","Si","72.0","69.0","67","64","67","336"
"URBANO","N","A","ACADÉMICO","SUCRE","MIXTO","TARDE","OFICIAL","Primaria completa","Primaria completa","M","Estrato 3","Siete","Dos","No","No","No","52.0","55.0",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","VALLE","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","F","Estrato 2","Dos","Cinco","No","No","No","40.54","48.17",,,,
"URBANO","N","A","TÉCNICO","ATLANTICO","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Técnica o tecnológica completa","M","Estrato 2","Cinco","Tres","No","Si","Si","40.0","40.0","40","51","53","227"
"URBANO","N","B","ACADÉMICO","VALLE","MIXTO","MAÑANA","NO OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","F","Estrato 2","3 a 4","Tres","Si","Si","Si","40.0","31.0","34","36","38","176"
"URBANO","N","A","ACADÉMICO","BOGOTA","MIXTO","COMPLETA","NO OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","M","Estrato 4","5 a 6","Tres","Si","Si","Si","53.0","51.0","49","54","51","257"
"URBANO","N","A","ACADÉMICO","BOGOTÁ","MIXTO","MAÑANA","NO OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","F","Estrato 3","1 a 2","Dos","No","No","Si","45.0","27.0","42","40","50","201"
"URBANO","N","A","ACADÉMICO","BOGOTÁ","MIXTO","MAÑANA","NO OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","F","Estrato 3","1 a 2","Dos","No","No","Si","45.0","27.0","42","40","50","201"
"URBANO","N","A","ACADÉMICO","BOGOTA","MIXTO","COMPLETA","NO OFICIAL","Secundaria (Bachillerato) completa","Primaria incompleta","F","Estrato 2","Tres","Dos","No","Si","Si","75.0","64.0","67","65","61","325"
"URBANO","N","A","TÉCNICO/ACADÉMICO","PUTUMAYO","MIXTO","NOCHE","OFICIAL","Secundaria (Bachillerato) incompleta","No sabe","F","Estrato 1","5 a 6","Tres","No","No","No","45.0","51.0","52","40","52","242"
"URBANO","N","A","TÉCNICO/ACADÉMICO","GUAVIARE","MIXTO","SABATINA","OFICIAL","Primaria incompleta","Primaria completa","M","Estrato 1","5 a 6","Cinco","No","No","No","38.0","28.0","42","44","42","195"
"URBANO","N","A","ACADÉMICO","CORDOBA","MIXTO","TARDE","OFICIAL","Ninguno","Técnica o tecnológica completa","F","Estrato 1","Cuatro","Tres","No","Si","No","38.0","55.0","33","45","43","218"
"URBANO","N","A","TÉCNICO","ANTIOQUIA","MIXTO","TARDE","OFICIAL","Primaria completa","Primaria completa","M","Estrato 3","Tres","Dos","No","Si","Si","49.0","47.0","49","48","47","239"
"URBANO","N","A","TÉCNICO/ACADÉMICO","ANTIOQUIA","MIXTO","NOCHE","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","F","Estrato 2","Cuatro","Dos","No","No","No","40.0","49.0","53","51","53","253"
"URBANO","N","A","TÉCNICO","NARIÑO","MIXTO","MAÑANA","OFICIAL","Primaria incompleta","Primaria incompleta","M","Estrato 1","Cuatro","Tres","No","No","No","27.0","64.0",,,,
"RURAL","N","A","ACADÉMICO","NARIÑO","MIXTO","MAÑANA","OFICIAL","Primaria incompleta","Primaria incompleta","F","Estrato 1","3 a 4","Dos","No","Si","No","47.0","59.0","53","59","58","282"
"URBANO","","A","ACADÉMICO","BOGOTA","MIXTO","TARDE","OFICIAL","Secundaria (Bachillerato) completa","Primaria incompleta","F","Estrato 1","Cinco","Dos","No","No","No","41.0","40.0","38","47","43","210"
"URBANO","N","A","ACADÉMICO","SANTANDER","MIXTO","MAÑANA","OFICIAL","Primaria completa","Primaria completa","M","Estrato 1","Cuatro","Dos","No","No","No","46.0","70.0","70","71","60","330"
"URBANO","","A","TÉCNICO","BOGOTA","MIXTO","COMPLETA","NO OFICIAL","Secundaria (Bachillerato) completa","Primaria completa","F","Estrato 3","Cinco","Tres","Si","Si","Si","50.0","60.0","51","48","53","264"
"URBANO","N","A","ACADÉMICO","NARIÑO","FEMENINO","MAÑANA","NO OFICIAL","Educación profesional completa","Técnica o tecnológica completa","F","Estrato 4","Tres","Dos","Si","Si","No","49.0","58.0","58","56","52","277"
"URBANO","N","A","TÉCNICO/ACADÉMICO","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","Educación profesional incompleta","Educación profesional incompleta","F","Estrato 3","7 a 8","Cuatro","Si","Si","Si","58.0","64.0","58","56","64","302"
"URBANO","N","A","TÉCNICO/ACADÉMICO","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","Educación profesional incompleta","Educación profesional incompleta","F","Estrato 3","7 a 8","Cuatro","Si","Si","Si","58.0","64.0","58","56","64","302"
"URBANO","N","A","TÉCNICO/ACADÉMICO","NARIÑO","MIXTO","MAÑANA","OFICIAL","Primaria completa","Primaria incompleta","M","Estrato 1","Cuatro","Dos","No","Si","Si","59.0","50.0","54","52","45","255"
"URBANO","N","A","ACADÉMICO","ANTIOQUIA","MIXTO","TARDE","OFICIAL","","","M","","","","","","","47.0","64.0","29","53","41","234"
"URBANO","N","A","ACADÉMICO","ANTIOQUIA","MIXTO","TARDE","OFICIAL","","","M","","","","","","","47.0","64.0","29","53","41","234"
"URBANO","N","A","TÉCNICO/ACADÉMICO","NARIÑO","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","F","Estrato 2","Siete","Tres","No","No","No","80.0","74.0",,,,
"URBANO","N","A","ACADÉMICO","BOGOTÁ","MIXTO","NOCHE","OFICIAL","","","F","","3 a 4","Dos","No","Si","","51.0","67.0","50","47","49","265"
"URBANO","N","A","ACADÉMICO","BOGOTÁ","MIXTO","NOCHE","OFICIAL","","","F","","3 a 4","Dos","No","Si","","51.0","67.0","50","47","49","265"
"URBANO","N","A","TÉCNICO/ACADÉMICO","RISARALDA","MIXTO","NOCHE","OFICIAL","Técnica o tecnológica completa","Educación profesional completa","M","Estrato 1","3 a 4","Tres","No","No","No","69.0","64.0","77","63","70","343"
"URBANO","N","A","TÉCNICO/ACADÉMICO","RISARALDA","MIXTO","NOCHE","OFICIAL","Técnica o tecnológica completa","Educación profesional completa","M","Estrato 1","3 a 4","Tres","No","No","No","69.0","64.0","77","63","70","343"
"URBANO","N","A","ACADÉMICO","BOGOTA","MIXTO","MAÑANA","NO OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","F","Estrato 3","Cinco","Uno","Si","Si","Si","82.0","49.0","74","56","60","307"
"URBANO","N","A","ACADÉMICO","BOGOTÁ","MIXTO","NOCHE","NO OFICIAL","","","M","","","","","","","56.0","41.0","36","47","57","230"
"URBANO","N","A","TÉCNICO/ACADÉMICO","HUILA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","No sabe","F","Estrato 1","Cuatro","Dos","No","Si","Si","45.0","50.0","52","52","49","252"
"URBANO","","A","ACADÉMICO","SANTANDER","MIXTO","MAÑANA","NO OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","M","Estrato 2","Seis","Cinco","No","Si","Si","42.0","35.0",,,,
"RURAL","N","A","TÉCNICO/ACADÉMICO","CUNDINAMARCA","MIXTO","MAÑANA","OFICIAL","No sabe","Secundaria (Bachillerato) completa","F","Estrato 2","Cuatro","Tres","Si","Si","Si","53.0","58.0",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","BOYACA","MIXTO","MAÑANA","OFICIAL","","","F","Estrato 2","Tres","Dos","No","","No","42.0","30.0",,,,
"URBANO","N","A","ACADÉMICO","ANTIOQUIA","MIXTO","TARDE","OFICIAL","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","M","Estrato 1","Ocho","Cinco","No","Si","Si","59.0","57.0","54","59","63","291"
"URBANO","N","A","ACADÉMICO","BOGOTA","MIXTO","MAÑANA"," D.C.""","Tres","Primaria completa","22/02/1996","Primaria completa","Estrato 2","N","Seis","No","Si",,"63.0","62",,,
"URBANO","N","A","ACADÉMICO","SANTANDER","MIXTO","MAÑANA","OFICIAL","Primaria incompleta","Primaria incompleta","F","Estrato 1","Cinco","Tres","Si","No","No","43.0","48.0",,,,
"URBANO","N","A","TÉCNICO","BOLIVAR","MIXTO","TARDE","OFICIAL","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","F","Estrato 1","Cuatro","Dos","No","No","No","36.0","17.0",,,,
"URBANO","N","A","ACADÉMICO","CUNDINAMARCA","MIXTO","TARDE","OFICIAL","","","M","Estrato 2","Cuatro","Tres","No","No","No","45.0","58.0",,,,
"URBANO","N","A","ACADÉMICO","CORDOBA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Técnica o tecnológica incompleta","M","Estrato 1","Cuatro","Dos","No","No","No","33.0","37.0",,,,
"URBANO","N","A","ACADÉMICO","BOGOTA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Ninguno","F","Estrato 2","7 a 8","Dos","No","Si","Si","32.0","30.0","32","33","35","162"
"URBANO","N","A","TÉCNICO/ACADÉMICO","PUTUMAYO","FEMENINO","COMPLETA","OFICIAL","Primaria incompleta","Primaria incompleta","F","Estrato 1","7 a 8","Cinco","No","No","No","41.0","48.0","44","39","44","218"
"URBANO","N","A","TÉCNICO/ACADÉMICO","PUTUMAYO","FEMENINO","COMPLETA","OFICIAL","Primaria incompleta","Primaria incompleta","F","Estrato 1","7 a 8","Cinco","No","No","No","41.0","48.0","44","39","44","218"
"URBANO","N","A","ACADÉMICO","BOGOTÁ","FEMENINO","COMPLETA","NO OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","F","Estrato 2","7 a 8","Dos","No","Si","Si","74.0","65.0","66","66","64","330"
"URBANO","N","A","ACADÉMICO","BOGOTÁ","FEMENINO","COMPLETA","NO OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","F","Estrato 2","7 a 8","Dos","No","Si","Si","74.0","65.0","66","66","64","330"
"URBANO","N","A","ACADÉMICO","CUNDINAMARCA","MIXTO","TARDE","OFICIAL","Primaria incompleta","Primaria incompleta","M","Estrato 1","Seis","Uno","No","No","No","43.0","51.0",,,,
